tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
geometry_only,0,3,792,198,gbr,0.8133384703326523,0.5252183651918932,0.724719507942137,0.5061116972386028,3.4699686873658893,0
geometry_only,0,3,792,198,svr,0.7631381850665135,0.6664692796499264,0.8163756976110487,0.5858761841909973,3.2725973211273702,0
geometry_only,0,3,792,198,mlp,0.8607088512947187,0.3919300861782565,0.6260431983323966,0.408851129484297,3.24890474319458,0
geometry_only,0,3,792,198,pinn,0.8215958044426064,0.5019843140737965,0.7085085137623941,0.4594362399921273,3.3263407135009766,0
geometry_only,0,3,792,198,stack_ridge,0.8559036245507096,0.40545077969964005,0.636750170553287,0.40793120059976834,3.379991414973759,0
geometry_only,0,3,792,198,stack_nnls,0.8554932488442792,0.40660547321377716,0.6376562343565514,0.41020896155349795,3.3248949961660834,0
geometry_only,0,4,792,198,prior_xgb,0.7654389001255073,0.43073788569063615,0.6563062438302992,0.4570742547536137,2.5488153495788577,0
geometry_only,0,4,792,198,prior_gbr,0.7517412660847578,0.4558916299765963,0.675197474800222,0.4802554424068648,2.8054480245111266,0
geometry_only,0,4,792,198,prior_rf,0.6955457478292078,0.5590866556293446,0.7477209744479183,0.5530111340828604,2.5435681677489224,0
geometry_only,0,4,792,198,rf,0.6966052538834246,0.5571410244146463,0.7464187996122862,0.5586045959595959,2.5935799999999993,0
geometry_only,0,4,792,198,gbr,0.7081869491167767,0.5358728988806312,0.7320334001127484,0.5487534574874621,2.453053834597264,0
geometry_only,0,4,792,198,svr,0.6412570398831305,0.6587800970826887,0.8116526948656603,0.6005719307267101,2.395555898603885,0
geometry_only,0,4,792,198,mlp,0.7891366590649403,0.38722034341001266,0.6222703137785159,0.41475465489035906,3.1939945373535155,0
geometry_only,0,4,792,198,pinn,0.7830828922731237,0.39833721960886465,0.6311396197426244,0.43433226117461626,3.2082826499938966,0
geometry_only,0,4,792,198,stack_ridge,0.8003447199565292,0.3666383438639751,0.605506683583241,0.4264815516007433,2.8139898841193,0
geometry_only,0,4,792,198,stack_nnls,0.8034776406255602,0.3608851834902518,0.6007372000219828,0.4129768140106165,2.9256214470247093,0
geometry_only,1,0,792,198,prior_xgb,0.8753036733894594,0.25415524478245466,0.5041381207392024,0.35997693285918003,1.823350959777832,0
geometry_only,1,0,792,198,prior_gbr,0.8644642058695202,0.27624817723463446,0.5255931670357163,0.3868618925582356,2.1539951405645197,0
geometry_only,1,0,792,198,prior_rf,0.8456127407730962,0.3146711112241312,0.5609555340881586,0.411466072069752,2.2576125000000116,0
geometry_only,1,0,792,198,rf,0.84480549998961,0.3163164241575756,0.562420149139036,0.4133544444444444,2.3768999999999987,0
geometry_only,1,0,792,198,gbr,0.8418197959275182,0.32240186682758265,0.5678044265656818,0.4355253907368466,1.6627451002345444,0
geometry_only,1,0,792,198,svr,0.777885896058198,0.45271152720702856,0.6728384109182743,0.4956229565402274,3.1105859677287224,0
geometry_only,1,0,792,198,mlp,0.8580720310531216,0.2892766665198729,0.5378444631302556,0.3705049614424657,2.2710625114440917,2
geometry_only,1,0,792,198,pinn,0.850580414690681,0.30454603043914147,0.5518568930793032,0.39089364256040016,2.2569743976593015,0
geometry_only,1,0,792,198,stack_ridge,0.8807987934516921,0.24295512668364563,0.4929047846021031,0.3526932955581877,2.1073675482607537,0
geometry_only,1,0,792,198,stack_nnls,0.8786387719537095,0.24735766850245736,0.49735064944408924,0.3544690485742242,2.098715275164315,0
geometry_only,1,1,792,198,prior_xgb,0.8181913278745807,0.43100491357803705,0.656509644695367,0.4452167894731868,3.2641146564483643,0
geometry_only,1,1,792,198,prior_gbr,0.8191537421230178,0.428723365260651,0.65476970398809,0.45757366329741705,3.18419402103025,0
geometry_only,1,1,792,198,prior_rf,0.7894739361508738,0.4990838274899351,0.7064586523569055,0.49146039486736265,2.961541244225955,0
geometry_only,1,1,792,198,rf,0.7904925533060724,0.4966690416944445,0.7047475020845725,0.5035381313131313,3.1496699999999995,0
geometry_only,1,1,792,198,gbr,0.7852429536349428,0.5091140104966679,0.7135222564830532,0.5071873451187828,3.2547630112719417,0
geometry_only,1,1,792,198,svr,0.7446842024166287,0.6052646553439247,0.7779875676024166,0.5439194072483106,3.1747628627760127,0
geometry_only,1,1,792,198,mlp,0.8365335566646217,0.3875218902323377,0.6225125623088563,0.4047926290300157,3.055354633331299,0
geometry_only,1,1,792,198,pinn,0.8422019446903588,0.37408412039111566,0.6116241659639648,0.4087798331071331,2.9566994094848633,2
geometry_only,1,1,792,198,stack_ridge,0.856312829299376,0.34063213743386905,0.5836369911459255,0.38176751812051235,3.1280095830055505,0
