repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
3,18,792,198,0.850378898956583,0.3440436318364452,0.586552326597078,0.40643284022446835,2.4578703689575203,3,full
3,19,792,198,0.7052136880849974,0.6070754147143878,0.7791504442111213,0.5034556281590703,3.788443710327148,2,full
4,20,792,198,0.7633304960110662,0.5751684069167091,0.7583985805081054,0.5375848420581432,3.4590355081558224,6,full
4,21,792,198,0.8161538945714893,0.5300932780048637,0.7280750497063223,0.4829246030841211,3.509432201385499,2,full
4,22,792,198,0.7110631926729154,0.578734846076674,0.7607462428935644,0.49460215564207594,3.8012942199707034,0,full
4,23,792,198,0.8757788835715177,0.3060300649629969,0.5531998417958892,0.391984084716951,2.512601758956909,4,full
4,24,792,198,0.7510328189761133,0.526667944043754,0.7257189153134663,0.534949129658516,2.448785466194153,1,full
0,0,792,198,0.8072019020250826,0.4572816932397013,0.6762260666668368,0.4548448831432997,3.458485303878784,3,no_structural_layer
0,1,792,198,0.8440507344539874,0.4029541449477465,0.6347866924784628,0.43705661859656825,2.7679192962646493,5,no_structural_layer
0,2,792,198,0.7194566679939356,0.6512789366683543,0.8070185479085065,0.5088013510101974,4.189739608764649,4,no_structural_layer
0,3,792,198,0.8400713008949017,0.44999893679720254,0.6708196007848924,0.4736992700822426,2.798650177001953,5,no_structural_layer
0,4,792,198,0.7203291141599377,0.5135755507645264,0.716641856693095,0.5091723596808886,3.204346214294434,0,no_structural_layer
1,5,792,198,0.8457631051373132,0.3143646395514451,0.5606822982326489,0.4078357153589075,1.927058469772339,7,no_structural_layer
1,6,792,198,0.8401244336482707,0.37900917405706447,0.6156372097729835,0.40975602732282695,2.746660747528076,4,no_structural_layer
1,7,792,198,0.7660600666270134,0.5651709819904432,0.7517785458434174,0.48084526042263914,4.185163166046142,1,no_structural_layer
1,8,792,198,0.8810441448038153,0.3283700826758388,0.5730358476359387,0.42469548561597115,2.381519021987915,1,no_structural_layer
1,9,792,198,0.7980998918904176,0.46795501575000037,0.6840723761050437,0.4731067727190076,3.6468309211730965,2,no_structural_layer
2,10,792,198,0.8622179608466779,0.3857631558103819,0.6210983463271995,0.43841824911579935,2.640576002120972,5,no_structural_layer
2,11,792,198,0.8231985329265151,0.4406143832220078,0.6637879052995828,0.4792395183004515,2.5460641803741457,3,no_structural_layer
2,12,792,198,0.793480761650167,0.4395059374469785,0.6629524398076974,0.4173211320265374,2.9476798200607304,2,no_structural_layer
2,13,792,198,0.8210057294231152,0.5029572853253526,0.7091948147902327,0.46073436595815603,3.9698018417358396,5,no_structural_layer
2,14,792,198,0.6467663857178867,0.6031104716163095,0.7766018745897473,0.4884417819061665,3.798870952606201,3,no_structural_layer
3,15,792,198,0.778983372506622,0.4567924411882021,0.6758642180114303,0.4707835654995658,3.0617737655639647,3,no_structural_layer
3,16,792,198,0.8415300843674103,0.4424693926461259,0.665183728488698,0.44799730573519314,3.5234764938354495,1,no_structural_layer
3,17,792,198,0.8760729006585841,0.3364878173583331,0.5800756996792169,0.409894405622675,2.5171111011505127,1,no_structural_layer
3,18,792,198,0.817386892389221,0.41990652605290557,0.648001949111965,0.4168769721334631,3.100739364624024,2,no_structural_layer
3,19,792,198,0.7431295959461053,0.5289923607912753,0.7273186102330088,0.4738208921088113,3.2256843109130857,1,no_structural_layer
4,20,792,198,0.8103028183878898,0.46101345507331926,0.6789797162458678,0.4620037740312442,2.919539459228516,5,no_structural_layer
4,21,792,198,0.8548807774722926,0.41842999171468964,0.6468616480474705,0.4449125960679969,2.7096717681884765,3,no_structural_layer
4,22,792,198,0.7294786176510495,0.5418491054237284,0.7361040044883117,0.45985398173573044,4.269153964996338,1,no_structural_layer
4,23,792,198,0.8836265124166165,0.28669671460904367,0.5354406732860735,0.3680946671745994,2.6131252307891844,5,no_structural_layer
4,24,792,198,0.7984498287533514,0.4263614741332297,0.6529636085826145,0.46467674631542627,2.6371478261947634,1,no_structural_layer
0,0,792,198,0.7902889326993834,0.49739615148489114,0.7052631788806865,0.4812258371223102,3.357911287307739,1,no_quantile_heads
0,1,792,198,0.8514984584741427,0.38371012187497966,0.6194433968289432,0.4133734561915349,3.480542961120605,5,no_quantile_heads
0,2,792,198,0.8213154872119524,0.4148145623549773,0.6440609927289319,0.44046529037302196,3.039835107803345,4,no_quantile_heads
0,3,792,198,0.8490434734499135,0.424753510972391,0.6517311646471964,0.45475345622650304,3.690228261947632,2,no_quantile_heads
0,4,792,198,0.759652084810575,0.4413645437126605,0.6643527253746013,0.4590947026556188,2.619060935974121,0,no_quantile_heads
1,5,792,198,0.8064501307563794,0.3944920891604381,0.6280860523530498,0.4624761605768493,2.031451096534729,4,no_quantile_heads
1,6,792,198,0.8388731086807479,0.3819756288646391,0.6180417695145201,0.43814091522284226,2.9120929622650147,4,no_quantile_heads
1,7,792,198,0.80285667523503,0.47627476354212184,0.6901266286284872,0.4247613718413343,4.230362560272217,1,no_quantile_heads
1,8,792,198,0.8824861830855293,0.32438942759158773,0.5695519533735159,0.4247662928489724,2.2269764251708986,2,no_quantile_heads
1,9,792,198,0.8037393562369746,0.4548841182065367,0.6744509753914932,0.4301172928087639,3.177171642303467,3,no_quantile_heads
2,10,792,198,0.8896095923588175,0.30907186658392755,0.5559423230731112,0.4124096946836722,2.2426974234580994,8,no_quantile_heads
2,11,792,198,0.8000898918752554,0.4982044009545395,0.7058359589554357,0.4820980561694714,3.4304299545288086,3,no_quantile_heads
