Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
In2H2Se2O8,0,-1.176,No,p2_1/m11,Rectangular (op),5.487,4.136,-76.592,32.035,1.58,ABCD4,0
K4As4O8,0,-1.556,No,pbma,Rectangular (op),5.496,5.194,-89.422,41.419,1.606,ABC2,0
Zn2Cl2F2,0.041,-1.748,No,p2_1/m11,Rectangular (op),5.535,2.955,-19.602,19.368,2.634,ABC,0
Na4As4O8,0,-1.535,No,p2_1/b11,Rectangular (op),5.613,5.248,-89.439,34.335,1.553,ABC2,0
Na6H2Se2O8,0.014,-1.428,No,p2_1/m11,Rectangular (op),5.631,6.641,-88.149,43.055,1.001,ABC3D4,0
Na4As4O8,0,-1.535,No,pb2_1a,Rectangular (op),5.635,5.28,-89.443,34.124,1.54,ABC2,0
Li6H2S2O8,0.024,-1.741,No,p2_1/m11,Rectangular (op),5.694,5.793,-98.476,32.787,1.127,ABC3D4,0
Sr2Br4,0.054,-2.119,No,pmmn,Rectangular (op),5.741,3.258,-22.398,35.525,2.617,AB2,0
Be2I2F2,0,-1.951,No,pm2_1b,Rectangular (op),5.741,4.705,-25.242,18.833,2.89,ABC,0
Hf2O6,0.177,-2.461,No,pmmn,Rectangular (op),5.747,4.713,-65.446,13.209,4.712,AB3,
Zr2O6,0.155,-2.482,No,pmmn,Rectangular (op),5.76,4.713,-65.407,13.329,4.641,AB3,
Sb2P2O8,0.005,-1.864,No,p2_1/m11,Rectangular (op),5.77,3.082,-82.903,33.638,1.452,ABC4,0
Ba2Br4,0.075,-2.191,No,pmmn,Rectangular (op),5.787,3.286,-23.142,40.364,2.682,AB2,0
Ga2H2Se2O8,0,-1.241,No,p2_1/m11,Rectangular (op),5.796,4.03,-77.785,28.25,1.576,ABCD4,0
Pb2F4,0.07,-2.432,No,pmmn,Rectangular (op),5.806,1.817,-28.457,24.261,2.224,AB2,0
Sr2S4Br4H8,0.003,-0.842,No,pman,Rectangular (op),5.813,5.231,-67.746,56.124,1.415,AB2C2D4,0
H2P6O12,0,-1.656,No,p2_111,Rectangular (op),5.829,2.016,-133.444,57.685,1.237,AB3C6,0
Li6H2Se2O8,0,-1.619,No,p2_1/m11,Rectangular (op),5.856,5.659,-95.084,34.277,1.085,ABC3D4,0
As4S2O12,0,-1.232,No,p2_12_12,Rectangular (op),5.874,2.661,-110.478,57.896,1.21,AB2C6,0
Ca2S4Br4H8,0,-0.82,No,pman,Rectangular (op),5.884,4.989,-68.033,52.325,1.415,AB2C2D4,0
Mg2Cl4,0.139,-1.748,No,pmma,Rectangular (op),5.908,3.544,-20.862,23.145,1.53,AB2,0
K2C2N2O2,0.002,-1.013,No,pm2_1n,Rectangular (op),5.93,4.424,-55.937,23.927,1.093,ABCD,0
Al4S4Cl4,0,-1.291,No,p2_1/b11,Rectangular (op),5.932,4.593,-53.895,45.883,1.645,ABC,0
Ga2H2S2O8,0.018,-1.381,No,p2_1/m11,Rectangular (op),5.938,3.777,-80.946,27.392,1.647,ABCD4,0
Ca2Br4,0.059,-2.035,No,pmmn,Rectangular (op),5.946,3.211,-22.573,31.379,2.716,AB2,0
Sr2O4Br4H8,0.01,-1.444,No,pman,Rectangular (op),5.989,3.491,-82.768,53.085,1.2,AB2C2D4,0
As4H2P2O12,0,-1.531,No,p2_111,Rectangular (op),5.999,2.811,-128.137,57.5,1.244,ABC2D6,0
Sr4Se4O12,0.029,-1.895,No,p2_1/b11,Rectangular (op),6.001,4.04,-120.025,60.378,1.487,ABC3,0
Ca4Se4O12,0.01,-1.907,No,p2_1/b11,Rectangular (op),6.045,4.031,-121.605,53.742,1.535,ABC3,0
Cs2H2C2O6,0,-1.537,No,p2_111,Rectangular (op),6.047,7.225,-75.938,26.972,1.397,ABCD3,0
Al2H2Se2O8,0,-1.652,No,p2_1/m11,Rectangular (op),6.063,3.947,-85.207,26.692,1.595,ABCD4,0
Sr2O6H8,0.016,-1.571,No,pm2_1b,Rectangular (op),6.07,6.563,-85.823,25.068,1.204,AB3C4,0
Ca2O4Br4H8,0,-1.429,No,pman,Rectangular (op),6.093,3.378,-83.183,49.029,1.203,AB2C2D4,0
Cs2C2S2H6O6,0.096,-1.065,No,p2_111,Rectangular (op),6.116,9.037,-98.129,31.932,1.41,ABCD3E3,0
Na2C2N2O2,0.027,-0.962,No,pm2_1n,Rectangular (op),6.127,4.091,-55.704,19.03,1.071,ABCD,0
Rb2H2C2O6,0,-1.533,No,p2_111,Rectangular (op),6.136,7.072,-76.046,24.044,1.243,ABCD3,0
Ca2O6H8,0.041,-1.58,No,pm2_1b,Rectangular (op),6.176,6.246,-86.644,22.459,1.188,AB3C4,0
K2H2C2O6,0,-1.542,No,p2_111,Rectangular (op),6.216,6.947,-76.773,21.859,1.221,ABCD3,0
V4O4F12,0,-2.756,No,p2_1/b11,Rectangular (op),6.247,4.432,-128.758,44.491,1.439,ABC3,
Ca2S4F4H8,0.073,-1.396,No,pman,Rectangular (op),6.255,5.191,-78.413,34.11,1.579,AB2C2D4,0
Ca2Br2Cl2,0.061,-2.202,No,p2_1/m11,Rectangular (op),6.266,3.252,-23.976,30.112,2.662,ABC,0
Na2H2C2O6,0,-1.519,No,p2_111,Rectangular (op),6.301,7.195,-76.671,18.074,1.115,ABCD3,0
Sc2O2Cl2,0,-3.012,No,pmmn,Rectangular (op),6.461,5.534,-41.21,13.837,3.78,ABC,
Ca2S4Cl4H8,0.009,-0.922,No,pman,Rectangular (op),6.475,5.024,-70.673,47.904,1.439,AB2C2D4,0
Cs2Cl2O6,0.06,-0.738,No,p2_1/m11,Rectangular (op),6.616,4.581,-43.36,31.399,1.536,ABC3,0
Si2N2F2,0,-1.977,No,pm2_1n,Rectangular (op),6.701,4.375,-42.536,13.94,3.021,ABC,0
Mg4Cl8,0.066,-1.821,No,pmmn,Rectangular (op),6.753,5.552,-42.606,37.533,3.261,AB2,0
Sr2Cl4,0.079,-2.435,No,pmmn,Rectangular (op),6.767,2.959,-25.101,32.806,2.553,AB2,0
Rb2Cl2O6,0.062,-0.726,No,p2_1/m11,Rectangular (op),6.795,4.511,-43.391,28.404,1.428,ABC3,0
Al2H2S2O8,0.04,-1.793,No,p2_1/m11,Rectangular (op),6.8,3.708,-88.38,25.821,1.668,ABCD4,0
Be2Br2Cl2,0.026,-1.224,No,pm2_1b,Rectangular (op),6.921,4.446,-21.485,20.572,2.742,ABC,0
Sr2O4Cl4H8,0.023,-1.544,No,pman,Rectangular (op),6.943,3.519,-85.378,48.958,1.193,AB2C2D4,0
Sc2O2F2,0.043,-3.807,No,pmmn,Rectangular (op),6.986,4.518,-45.582,12.969,2.933,ABC,0
K2Cl2O6,0.066,-0.727,No,p2_1/m11,Rectangular (op),7.004,4.503,-44.023,26.045,1.47,ABC3,0
Ca2O4Cl4H8,0.006,-1.534,No,pman,Rectangular (op),7.085,3.408,-85.86,45,1.195,AB2C2D4,0
Al2O2Cl2,0,-2.354,No,pmmn,Rectangular (op),7.217,5.049,-35.418,11.665,3.841,ABC,
Al2O2F2,0.015,-3.248,No,pmmn,Rectangular (op),7.451,4.066,-40.388,10.57,3.066,ABC,0
K2C2S2O6F6,0.05,-1.725,No,p2_111,Rectangular (op),7.674,9.398,-100.356,27.33,1.926,ABCD3E3,0
Sr2O4F4H8,0.074,-2.005,No,pman,Rectangular (op),7.695,3.615,-92.876,35.819,1.182,AB2C2D4,0
Ca2O4F4H8,0.064,-2.014,No,pman,Rectangular (op),7.966,3.626,-93.712,31.981,1.185,AB2C2D4,0
B4O6,0,-2.404,No,pb2n,Rectangular (op),8.005,1.764,-81.606,30.191,1.615,A2B3,0
Li2Nb2F12,0,-3.285,No,p2_12_12,Rectangular (op),8.141,7.32,-96.038,23.483,1.922,ABC6,0
K2Nb2F12,0,-3.326,No,p2_1/m11,Rectangular (op),8.177,8.167,-95.354,28.428,1.941,ABC6,0
Na2Nb2F12,0,-3.273,No,p2_12_12,Rectangular (op),8.25,7.707,-94.682,26.612,1.81,ABC6,0
K2Ta2F12,0,-3.387,No,p2_1/m11,Rectangular (op),8.681,8.095,-95.311,28.361,1.998,ABC6,0
Li2Ta2F12,0,-3.347,No,p2_12_12,Rectangular (op),8.725,7.328,-95.999,23.792,1.957,ABC6,0
Na2Ta2F12,0,-3.336,No,p2_12_12,Rectangular (op),8.85,7.733,-94.668,26.897,1.846,ABC6,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,2
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.235
,,,,,,,,,,,,
,,,,,,,,,,,,5.015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1.999
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,3.999
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0.934
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,3.997
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4.933
,,,,,,,,,,,,0
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.643
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,2.989
,,,,,,,,,,,,
,,,,,,,,,,,,3.961
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.754
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.122
,,,,,,,,,,,,2.822
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,2.94
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.994
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.995
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.984
,,,,,,,,,,,,4.882
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,2
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0.935
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1.009
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,4
,,,,,,,,,,,,6.124
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,10
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,2.189
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,8
,,,,,,,,,,,,7.999
,,,,,,,,,,,,8
,,,,,,,,,,,,8.005
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.254
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.598
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0.874
,,,,,,,,,,,,4.18
,,,,,,,,,,,,4.01
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,4
,,,,,,,,,,,,6.217
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,2.013
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,8.39
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.103
,,,,,,,,,,,,16.729
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,8
,,,,,,,,,,,,7.998
,,,,,,,,,,,,8
,,,,,,,,,,,,8.058
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.362
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,28.734
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,3.505
,,,,,,,,,,,,4
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4.002
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,1.003
,,,,,,,,,,,,3.975
,,,,,,,,,,,,4.26
,,,,,,,,,,,,4.044
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.744
,,,,,,,,,,,,6.078
,,,,,,,,,,,,
,,,,,,,,,,,,4.319
,,,,,,,,,,,,
,,,,,,,,,,,,6.066
,,,,,,,,,,,,0
,,,,,,,,,,,,0.849
,,,,,,,,,,,,0.785
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,8
,,,,,,,,,,,,9.291
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,1.397
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,8.982
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,5.882
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,8
,,,,,,,,,,,,7.999
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0.981
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,1.88
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
